TimeStamp; AccX(g); AccY(g); AccZ(g); GyrX(deg/s); GyrY(deg/s); GyrZ(deg/s); Lat; Long; VitGPS(km/h); Event
1668769388850;0.027579311;-0.018548917;1.0660746;-11.950541;1.298535;32.619125;43.78847557;4.831829577;7.7838826;0
1668769388859;0.42174378;-0.046860423;0.8473927;-10.375541;0.38853502;31.744123;43.78847557;4.831829577;7.7838826;0
1668769388870;0.47592613;0.001220324;1.048746;-8.94054;-0.871465;30.554123;43.78848077;4.831851125;7.669472;0
1668769388880;-0.58502305;-0.04271132;1.131484;-8.100539;-0.346465;30.519127;43.78848077;4.831851125;7.669472;0
1668769388890;0.27921003;0.08981581;0.8986462;-5.79054;-4.5814652;25.549126;43.78848077;4.831851125;7.669472;0
1668769388900;0.46640763;0.032460608;0.95673364;-7.7155395;-0.696465;26.879126;43.78848077;4.831851125;7.669472;0
1668769388910;0.19818054;-0.093720846;0.85325027;-7.9605403;0.703535;26.074125;43.78848077;4.831851125;7.669472;0
1668769388920;0.2814066;-0.028799636;0.90133095;-5.86054;4.4835353;21.769125;43.78848077;4.831851125;7.669472;0
1668769388930;0.13033055;-0.041246936;0.92207646;-5.30054;2.348535;17.919127;43.78848077;4.831851125;7.669472;0
1668769388939;-0.15546921;-0.004393165;0.9184154;-5.16054;-0.17146501;16.799126;43.78848077;4.831851125;7.669472;0
1668769388949;-0.081517614;-0.14497444;1.1536938;-5.12554;-0.556465;14.034125;43.78848077;4.831851125;7.669472;0
1668769388959;-0.42979795;-0.029531827;0.9494117;-3.83054;0.668535;15.329125;43.78848077;4.831851125;7.669472;0
1668769388969;-0.15839799;0.009518524;0.9057241;-3.41054;-0.48646498;13.369125;43.78848077;4.831851125;7.669472;0
1668769388980;-0.28848448;0.011226976;0.95770985;-3.09554;2.733535;9.764125;43.78848077;4.831851125;7.669472;0
1668769388990;0.5305967;-0.03636564;0.7419567;-3.55054;-1.431465;7.524125;43.78848077;4.831851125;7.669472;0
1668769389001;-0.20037712;-0.15327263;1.1829816;-4.49554;-5.211465;8.959125;43.78848077;4.831851125;7.669472;0
1668769389011;-0.17108937;-0.10641221;1.1107384;-4.39054;-3.391465;9.939125;43.78848077;4.831851125;7.669472;0
1668769389020;0.41246933;-0.18329258;0.8698466;-4.95054;0.668535;7.104125;43.78848077;4.831851125;7.669472;0
1668769389031;-0.32460606;-0.03221654;0.83567756;-2.39554;2.278535;7.7341256;43.78848077;4.831851125;7.669472;0
1668769389041;-0.22649205;0.008054135;1.0092076;-1.8005401;-9.726465;8.784125;43.78848077;4.831851125;7.669472;0
1668769389050;0.17938755;0.053450167;1.1253823;-4.56554;-0.591465;10.639125;43.78848077;4.831851125;7.669472;0
1668769389060;-0.48178372;0.0705347;0.9030394;-4.46054;1.1585351;10.429125;43.78848077;4.831851125;7.669472;0
1668769389070;-0.29922333;-0.09640556;0.77832234;-6.03554;-6.156465;12.809125;43.78848077;4.831851125;7.669472;0
1668769389080;-0.02709118;-0.022698017;0.8986462;-5.4405403;-5.4564652;17.534124;43.78848077;4.831851125;7.669472;0
1668769389090;-0.026114924;-0.08859549;1.13905;-5.86054;-3.6364648;18.094126;43.78848077;4.831851125;7.669472;0
1668769389100;-0.1418016;-0.0739516;1.052651;-5.93054;0.35353503;20.509125;43.78848077;4.831851125;7.669472;0
1668769389110;-0.108852856;0.025870858;1.0057906;-5.89554;5.8135347;22.959126;43.78848077;4.831851125;7.669472;0
1668769389120;0.32240948;-0.084446386;0.8969377;-6.6305404;5.253535;22.784124;43.78848077;4.831851125;7.669472;0
1668769389131;1.1868867;-0.067361854;0.75269556;-5.68554;-9.026464;26.214127;43.78848077;4.831851125;7.669472;0
1668769389140;0.17328593;0.033680927;0.8415351;-6.0705404;-4.231465;27.509127;43.78848077;4.831851125;7.669472;0
1668769389150;-0.6445749;-0.020013304;1.2156863;-6.6655397;-3.6714654;27.089127;43.78848077;4.831851125;7.669472;0
1668769389160;-0.40880838;-0.060039915;1.0262921;-6.49054;2.103535;25.164124;43.78848077;4.831851125;7.669472;0
1668769389170;-0.51448834;-0.07614819;0.8984022;-5.93054;-3.496465;23.694124;43.78848077;4.831851125;7.669472;0
1668769389182;-0.1610827;-0.023186147;0.913046;-6.49054;-3.916465;26.004126;43.78848077;4.831851125;7.669472;0
1668769389190;0.001220324;-0.13374746;0.96015054;-6.49054;-1.221465;29.259123;43.78848077;4.831851125;7.669472;0
1668769389200;-0.11910357;-0.06687373;0.98602146;-5.19554;0.87853503;27.369125;43.78848077;4.831851125;7.669472;0
1668769389211;-0.12227641;0.009762588;0.9630793;-4.14554;-5.001465;26.424126;43.78848077;4.831851125;7.669472;0
1668769389220;0.16401148;-0.067849986;1.1710225;-6.59554;-4.3014655;29.224125;43.78848077;4.831851125;7.669472;0
1668769389230;-1.0136007;-0.081517614;1.1180604;-6.7705398;2.8735352;29.469124;43.78848077;4.831851125;7.669472;0
1668769389241;-0.20721094;-0.090303935;0.98358077;-5.7205405;-0.241465;26.564125;43.78848077;4.831851125;7.669472;0
1668769389251;-0.0539383;0.004881294;0.8769245;-2.5355399;4.413535;25.829124;43.78848077;4.831851125;7.669472;0
1668769389260;0.24357657;0.10275123;1.00335;-2.8155398;2.243535;27.404125;43.78848077;4.831851125;7.669472;0
1668769389270;0.2545595;0.056378942;0.90547997;-3.97054;-0.136465;24.814125;43.78848077;4.831851125;7.669472;0
1668769389280;-0.2364987;0.059795853;1.0726644;-3.48054;-0.346465;22.784124;43.78848077;4.831851125;7.669472;0
