TimeStamp; AccX(g); AccY(g); AccZ(g); GyrX(deg/s); GyrY(deg/s); GyrZ(deg/s); Lat; Long; Alt; Bear; VitGPS(km/h); Azi; Pitch; Roll; Azi1; Pitch1; Roll1; gravX; gravY; gravZ; Event
1682615970354;-0.49105817;-0.08005322;1.1749275;-4.50324;4.3127346;-0.14248501;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.160003;0.06278224;-1.1749142;87.10886;-0.814215;189.8812;0.49458343;0.13935499;9.793175;0
1682615970364;-0.016840464;-0.017572658;0.9452626;-4.25824;-0.237265;-0.14248501;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.8780725;0.01858515;-1.5529826;86.63806;-0.70707357;189.80959;0.5750485;0.12101846;9.789009;0
1682615970374;0.001220324;-0.008786329;0.8232302;-3.9432402;-0.027265;-0.14248501;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.7330086;0.010672574;-1.5722787;86.39362;-0.61392707;189.7346;0.61681753;0.10507672;9.78665;0
1682615970384;-0.59063655;-0.054670494;1.2320386;-4.81824;2.352735;1.292515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.0354576;0.039992258;-1.123766;86.257416;-0.53709847;189.64854;0.6400902;0.09192754;9.785293;0
1682615970394;0.0871311;-0.061748367;1.0775456;-4.01324;-2.7222652;0.837515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.502711;0.057056222;-1.6514815;85.706924;-0.3972329;189.53441;0.73409027;0.06798918;9.778883;0
1682615970404;0.41710657;-0.073707536;0.8627687;-3.9782403;-2.057265;1.187515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-1.9783859;0.07676339;-2.0211174;85.5388;-0.2829208;189.44766;0.76279;0.048424058;9.776809;0
1682615970415;-0.2938539;-0.0712669;1.0277565;-4.01324;0.707735;2.1675148;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.3963208;0.06657208;-1.2923086;85.59233;-0.18556291;189.34131;0.7536598;0.03176058;9.777581;0
1682615970424;-0.22844456;-0.013179493;0.98602146;-3.69824;-1.427265;1.8875151;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.417139;0.013020691;-1.34313;85.55145;-0.07623902;189.24203;0.76064;0.01304894;9.777084;0
1682615970434;0.029531827;-0.031972475;0.9630793;-3.03324;-1.707265;1.8525149;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.5953934;0.033170413;-1.6014507;85.48367;0.02850366;189.12282;0.7722052;-0.004878639;9.77618;0
1682615970445;0.057355203;0.04734855;0.92061204;-3.0682402;-2.617265;1.677515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.1020262;-0.051287066;-1.6330171;85.475624;0.10819069;189.03998;0.7735776;-0.018517727;9.776051;0
